鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北屯區,房地(土地+建物),臺中市北屯區文心路四段993號122樓之1,2058.0,住,,,1091216,土地1建物1車位0,十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910807,78.63,3,2,2,有,有,有,16400,209,,0.0,0,,RPQQMLQKKIPFFBB48CC
北屯區,房地(土地+建物),臺中市北屯區崇興路一段37號1樓,1032.0,住,,,1091201,土地1建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0820115,45.58,0,1,1,有,有,無,6000,132,,0.0,0,,RPRQMLQKKIPFFBB58CC
北區,房地(土地+建物),臺中市北區北平四街5號九樓之20,8.5,商,,,1091204,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071130,61.19,1,0,0,無,有,有,14400,235,,0.0,0,社會住宅,RPUQMLQKKIPFFBB88CC
北區,房地(土地+建物),臺中市北區北平四街5號7樓之11,8.55,住,,,1091207,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071130,61.59,1,1,1,有,有,有,18000,292,,0.0,0,,RPVQMLQKKIPFFBB98CC
北區,房地(土地+建物),臺中市北區北平四街5號9樓之17,8.52,住,,,1091203,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071130,61.480000000000004,1,1,1,有,有,有,18000,293,,0.0,0,,RPWQMLQKKIPFFBB09CC
北屯區,房地(土地+建物),臺中市北屯區文心路四段288號十二樓之15,6.34,住,,,1091207,土地1建物1車位0,十二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,63.43000000000001,1,0,0,無,有,有,15300,241,,0.0,0,社會住宅,RPXQMLQKKIPFFBB56CC
北屯區,房地(土地+建物),臺中市北屯區文心路四段288號十三樓之11,6.84,住,,,1091211,土地1建物1車位0,十三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,63.43000000000001,1,0,0,無,有,有,15300,241,,0.0,0,社會住宅,RPORMLQKKIPFFBB38CC
北屯區,房地(土地+建物),臺中市北屯區文心路四段288號十六樓之19,9.74,住,,,1091208,土地1建物1車位0,十六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,94.14,2,1,2,有,有,有,20200,215,,0.0,0,社會住宅,RPPRMLQKKIPFFBB48CC
北屯區,房地(土地+建物),臺中市北屯區文心路四段288號二十一樓之20,9.99,住,,,1091207,土地1建物1車位0,二十一層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,97.91000000000001,2,1,2,有,有,有,20200,206,,0.0,0,社會住宅,RPQRMLQKKIPFFBB58CC
北區,房地(土地+建物),臺中市北區進化北路317號12樓之11,5.7,商,,,1091117,土地2建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,66.37,1,0,0,無,有,有,13500,203,,0.0,0,社會住宅出租,RPRRMLQKKIPFFBB68CC
北區,房地(土地+建物),臺中市北區進化北路317號15樓之16,6.29,商,,,1091201,土地2建物1車位0,十五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,69.26,1,0,0,無,有,有,16000,231,,0.0,0,租金含房屋管理費,RPSRMLQKKIPFFBB78CC
北區,建物,臺中市北區博館路９８號,0.0,住,,,1091120,土地0建物1車位0,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0720614,100.3,0,1,1,有,無,無,60000,598,,0.0,0,租賃期間含免租金裝潢期。,RPQVMLQKKIPFFBB98CC
北區,建物,臺中市北區北平路二段３之３號,0.0,商,,,1091123,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850829,35.22,0,1,1,有,有,有,7000,199,,0.0,0,第二年起租金調整為10000元/月。,RPVNMLRKKIPFFBB78CC
北屯區,建物,臺中市北屯區松竹北二街１２０號,0.0,住,,,1091128,土地0建物0車位1,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,1081015,104.13,0,1,1,有,無,有,26000,250,一樓平面,0.0,26000,部分承租。含水費。車位面積無法分算。,RPOPMLRKKIPFFBB28CC
